Term	Definition	Topic
Access rights (data security) 	 use of access levels to ensure only authorised users can gain access to certain data.	6.1 Data Security
Antivirus software 	 software that quarantines and deletes files or programs infected by a virus (or other malware); it can be run in the background or initiated by the user.	6.1 Data Security
Biometrics 	 use of unique human characteristics to identify a  user (such as fingerprints or face recognition	6.1 Data Security
Block chaining 	 form of encryption, in which the previous block of ciphertext is X0Red with the block of plaintext and then encrypted thus preventing identical plaintext blocks producing identical ciphertext.	6.1 Data Security
Block cipher 	 the encryption of a number of contiguous bits in one go rather than one bit at a time.	6.1 Data Security
Ciphertext 	 the product when plain text is put through an encryption algorithm .	6.1 Data Security
Data privacy 	 the privacy of personal information, or other information stored on a computer, that should not be accessed by unauthorised parties.	6.1 Data Security
Data protection laws 	 laws which govern how data should be kept private and secure.	6.1 Data Security
Data Security	Data security means protecting data, such as a database, from destructive forces and from the unwanted actions of unauthorized users.	6.1 Data Security
Eavesdropper 	a person who intercepts data being transmitted.	6.1 Data Security
Encryption	Conversion of electronic data into a form which cannot be understood by unauthorized party	6.1 Data Security
Ethical hacking 	The purpose of ethical hacking is to evaluate the security of and identify vulnerabilities in systems, networks or system infrastructure. It includes finding and attempting to exploit any vulnerabilities to determine whether unauthorized access or other malicious activities are possible.	6.1 Data Security
False positive 	a file or program identified by a virus checker as being infected but the user knows this cannot be correct .	6.1 Data Security
Firewall 	software or hardware that sits between a computer and external network which monitors and filters all incoming and outgoing activities.	6.1 Data Security
Hacking 	 illegal access to a computer system without the owner's permission.	6.1 Data Security
Heuristic checking 	checking of software for behaviour that could indicate a possible virus.	6.1 Data Security
Key distribution problem 	 security issue inherent in symmetric encryption arising from the fact that, when sending the secret key to a recipient, there is the risk that the key can be intercepted by an eavesdropper/ hacker.	6.1 Data Security
Malicious hacking 	 hacking done with the sole intent of causing harm to a computer system or user (for example, deletion of files or use of private data to the hacker's advantage).	6.1 Data Security
Malware 	 malicious software that seeks to damage or gain unauthorised access to a computer system.	6.1 Data Security
Non-Repudiation	The sender of a message cannot deny sending the message.	6.1 Data Security
Pharming	redirecting a user to a fake website in order to illegally obtain personal data about the user.	6.1 Data Security
Phishing	The activity of defrauding an online account holder of financial information by posing as a legitimate company.	6.1 Data Security
Piracy 	 the practice of using or making illegal copies of, for example, software :'	6.1 Data Security
Pointer data type 	a non-composite data type that uses the memory address of where the data is stored	6.1 Data Security
Privacy 	 the right to keep personal information and data secret, and for it to not be unwillingly accessed or shared through, for example, hacking.	6.1 Data Security
Private Key	A private key is an encryption/decryption key known only to the party or parties that exchange secret messages.	6.1 Data Security
Product key 	 security method used in software to protect against illegal copies or use.	6.1 Data Security
Quarantine 	 file or program identified as being infected by a virus which has been isolated by antivirus software before it is deleted at a later stage.	6.1 Data Security
Secure Sockets Layer (SSL) 	 security protocol used when sending data over the internet.	6.1 Data Security
Spam	Irrelevant or inappropriate messages sent on the Internet to a large number of recipients.	6.1 Data Security
Spyware	A type of Malware that locates and saves data from users secretly.	6.1 Data Security
Stuxnet	Stuxnet is a family of cleverly written malware worms that primarily target SCADA (Supervisory Control and Data Acquisition) control systems for large infrastructures such as industrial power plants.	6.1 Data Security
Swarm 	 connected peers (clients) that share a torrent/tracker.	6.1 Data Security
Trojan virus 	Trojan horses are impostors--files that claim to be something desirable but, in fact, are malicious. A very important distinction from true viruses is that they do not replicate themselves, as viruses do. Trojans contain malicious code, that, when triggered, cause loss, or even theft, of data.	6.1 Data Security
User account 	 an agreement that allows an individual to use a computer or network server, often requiring a user name and password .	6.1 Data Security
White box testing 	a method of testing a program that tests the structure and logic of every path through a program module.	6.1 Data Security
Abnormal test data 	 testdata that should be rejected by a program.	6.2 Data Integrity
Acknowledgement 	 message sent to a receiver to indicate that data has been received without error.	6.2 Data Integrity
Authentication	The origin of the message can be verified.	6.2 Data Integrity
Authentication 	a way of proving somebody or something is who or what they claim to be.	6.2 Data Integrity
Automatic Repeat Request (ARQ)	A method of data verification. A sends information to B. A keeps copy of message and B sends the message back when it has received it. If A doesn't hear from B then A sends it again after a reasonable amount of time.	6.2 Data Integrity
Bad sector 	a faulty sector on an HOD which can be soft or hard.	6.2 Data Integrity
Beta testing 	the testing of a completed program by a small group of users before it is released.	6.2 Data Integrity
Check digit 	 additional digit appended to a number to check if entered data is error	6.2 Data Integrity
Checksum	The transmitting end defines a block as a number of bytes. The sum of the binary numbers in a block is calculated and supplied as a checksum value during transmission, this is repeated for each block. The receiver does the same  and checks its value with the checksum value transmitted for each block.	6.2 Data Integrity
Checksum 	 verification method used to check if data transferred has been altered or corrupted; calculated from the block of data to be sent.	6.2 Data Integrity
Data hiding 	 technique which protects the integrity of an object by restricting access to the data and methods within that object'.	6.2 Data Integrity
Data Integrity	Data integrity refers to maintaining and assuring the accuracy and consistency of data over its entire life-cycle, and is a critical aspect to the design, implementation and usage of any system which stores, processes, or retrieves data.	6.2 Data Integrity
Even parity 	binary number with an even number of 1	6.2 Data Integrity
Integration testing 	 a method of testing a program that test s combinations of program modules that work together.	6.2 Data Integrity
Integrity	Proof that the contents of a message have not been changed since it was sent.	6.2 Data Integrity
Logical shift 	 bits shifted out of the register are replaced with zeros.	6.2 Data Integrity
Lossless compression	A form of compression using algorhythms to reconstruct compressed data perfectly	6.2 Data Integrity
Odd parity 	 binary number with an odd number of 1	6.2 Data Integrity
Parity byte 	 additional byte sent with transmitted data to enable vertical parity checking (as well as horizontal parity checking) to be carried out.	6.2 Data Integrity
Parity check 	 method used to check if data has been transferred correctly; uses even or odd parity.	6.2 Data Integrity
Testing 	 part of the program development lifecycle; the testing of the program to make sure that it works under all conditions.	6.2 Data Integrity
Validation	A check that sees if the data entered is of the right format and type, it does not guarantee accuracy	6.2 Data Integrity
Verification 	 method used to ensure data is correct by using dou ble entry or visual checks.	6.2 Data Integrity
Virus	A piece of code that is capable of copying itself and typically has a detrimental effect, such as corrupting the system or destroying data.	6.2 Data Integrity
Web crawler 	An internet bot that systematically browses the world wide web to update its web page content.	6.2 Data Integrity
Worm	A standalone malware computer program that replicates itself in order to spread to other computers.	6.2 Data Integrity
ACM 	 Association for Computing Machinery.	7.1 Ethics and Ownership
Code of conduct	a set of rules governing the behaviour of a group or organisation (e.g. computer professionals)	7.1 Ethics and Ownership
computer ethics	moral principles governing the design, building, implementation and use of computer systems	7.1 Ethics and Ownership
Contiguous 	 items next to each other.	7.1 Ethics and Ownership
copyright	the legal right to intellectual property	7.1 Ethics and Ownership
Culture 	 the attitudes, values and practices shared by a group of people/society.	7.1 Ethics and Ownership
Digital rights management (ORM) 	 electronic way of validating the authenticity of digital documents (that is, making sure they have not been tampered with during transmission) and also proof that a document was sent by a known user.	7.1 Ethics and Ownership
Ethics 	moral principles governing an individual's or organisation's behaviour, such as a code of conduct.	7.1 Ethics and Ownership
Free Software Foundation 	 organisation promoting the free distribution of software, giving users the freedom to run, copy, change or adapt the coding as needed.	7.1 Ethics and Ownership
freeware	copyrighted software that is available free of charge	7.1 Ethics and Ownership
Freeware 	 software that can be downloaded free of charge; however, it is covered by the usual copyright laws and cannot be modified; nor can the code be used for another purpose.	7.1 Ethics and Ownership
IEEE 	 Institute of Electrical a nd Electronics Engineers.	7.1 Ethics and Ownership
Legal 	 relating to, or permissible by, law.	7.1 Ethics and Ownership
Morality 	 an understanding of the difference between right and wrong, often founded in personal belief s.	7.1 Ethics and Ownership
Open Source Initiative 	 organisation offering the same freedoms as the Free Software Foundation, but with more of a focus on the practical consequences of the four shared rules, such as more collaborative software development .	7.1 Ethics and Ownership
open source software	software that can be freely copied, distributed and adapted	7.1 Ethics and Ownership
Plagiarism 	 the act of taking another person's work and claiming it as one's own.	7.1 Ethics and Ownership
shareware	copyrighted software that is available free of charge for a limited period, after which a licence must be obtained	7.1 Ethics and Ownership
Candidate Key	Candidate Key – A Candidate Key can be any column or a combination of columns that can qualify as unique key in database. There can be multiple Candidate Keys in one table. Each Candidate Key can qualify as Primary Key. Primary Key – A Primary Key is a column or a combination of columns that uniquely identify a record.	8.1 Database Concepts
Database 	 a structured collection of items of data that can be accessed by different applications programs.	8.1 Database Concepts
Field	A group of characters that represent a single item of data in a file	8.1 Database Concepts
First normal form (lNF) 	the status of a relational database in which entities do not contain repeated groups of attributes.	8.1 Database Concepts
Foreign Key	In context of relational databases, a foreign key is a field (or collection of fields) in one table that uniquely identifies a row of another table. In simpler words, the foreign key is defined in a second table, but it refers to the primary key in the first table.	8.1 Database Concepts
Indexing 	Indexes are used to quickly locate data without having to search every row in a database table every time a database table is accessed. Indexes can be created using one or more columns of a database table, providing the basis for both rapid random lookups and efficient access of ordered records.	8.1 Database Concepts
Normalisation	Decomposing a database table into less redundant/smaller tables without losing information	8.1 Database Concepts
Record (data base) 	 a row in a table in a database.	8.1 Database Concepts
Referential integrity 	 property of a database that does not contain any values of a foreign key that are not matched to the corresponding primary key.	8.1 Database Concepts
Relational Database	A database that represents data as a collection of tables in which all data relationships are represented by common values in related tables	8.1 Database Concepts
Removable hard disk drive 	 portable hard disk drive that is external to the computer; it can be connected via a USB port when required; often used as a device to back up files and data.	8.1 Database Concepts
Secondary key	 a candidate key that is an alternative to the primary key.	8.1 Database Concepts
Table	In relational databases and flat file databases, a table is a set of data elements (values) using a model of vertical columns (identifiable by name) and horizontal rows, the cell being the unit where a row and column intersect. A table has a specified number of columns, but can have any number of rows.	8.1 Database Concepts
Tuple 	 one instance of an entity, which is represent ed by a row in a table.	8.1 Database Concepts
1NF - First Normal Form	A relational database table structure that has no repeating fields or groups of fields	8.2 Database Management System (DBMS)
2NF- Second Normal Form	All non-key columns must depend on the entire primary key.	8.2 Database Management System (DBMS)
3NF - Third Normal Form	Third normal form (3NF) is the third step in normalizing a database and it builds on the first and second normal forms, 1NF and 2NF.	8.2 Database Management System (DBMS)
Access rights (database) 	 the permissions given to database users to access, modify or delete data.	8.2 Database Management System (DBMS)
Attribute	In database management systems, the term attribute is sometimes used as a synonym for field.	8.2 Database Management System (DBMS)
Attribute	a named piece of data stored within an object	8.2 Database Management System (DBMS)
Attribute (database) 	 an individual data item stored for an entity; for example, for a person, attributes could include name, address, date of birth.	8.2 Database Management System (DBMS)
Attributes (class) 	the data items in a class.	8.2 Database Management System (DBMS)
Composite key 	 a set of attributes that form a primary key to provide a unique identifier for a table.	8.2 Database Management System (DBMS)
Data Management	Data management is the process of controlling the information generated during a research project. Any research will require some level of data management, and funding agencies are increasingly requiring scholars to plan and execute good data management practices.	8.2 Database Management System (DBMS)
Data manipulation language (DML) 	 a language used to add, modify, delete and retrieve the data stored in a relational database.	8.2 Database Management System (DBMS)
Database management system (DBMS) 	 systems software for the definition, creation and manipulation of a database.	8.2 Database Management System (DBMS)
Developer interface 	 feature of a DBMS that provides developers with the commands required for definition, creation and manipulation of a database.	8.2 Database Management System (DBMS)
Logical schema 	 a data model for a specific database that is independent of the DBMS used to build that database.	8.2 Database Management System (DBMS)
Primary key 	 a unique identifier for a table, it is a special case of a candidate key.	8.2 Database Management System (DBMS)
Record 	The data stored for s number of fields in a single entry 	8.2 Database Management System (DBMS)
Third normal form (3NF) 	 the status of a relational database in which entities are in 2NF and all non	8.2 Database Management System (DBMS)
Data	The individual samples. An individual sample is the bit size times the number of channels. 	8.3 Data Definition Language (DDL) and Data Manipulation Language (DML)
Data definition language (DDL) 	 a language used to create, modify and remove the data structures that form a database.	8.3 Data Definition Language (DDL) and Data Manipulation Language (DML)
Data Dictionary	A data dictionary is a collection of descriptions of the data objects or items in adata model for the benefit of programmers and others who need to refer to them. A first step in analyzing a system of objects with which users interact is to identify each object and its relationship to other objects.	8.3 Data Definition Language (DDL) and Data Manipulation Language (DML)
DDL - Data Description Language	A language used to describe the data in a database	8.3 Data Definition Language (DDL) and Data Manipulation Language (DML)
Labelled data 	 data where we know the target answer and the data object is fully recognised.	8.3 Data Definition Language (DDL) and Data Manipulation Language (DML)
Multi Container Format	The container file is used to identify and interleave different data types. Simpler container formats can contain different types of audio formats.	8.3 Data Definition Language (DDL) and Data Manipulation Language (DML)
Query processor 	 feature of a DBMS that processes and executes queries written in structured query language (SQL).	8.3 Data Definition Language (DDL) and Data Manipulation Language (DML)
SQL - Structures Query Language	A language for requesting information from a database	8.3 Data Definition Language (DDL) and Data Manipulation Language (DML)
SQL script 	 a list of SOL commands that perform a given task, often stored in a file for reuse.	8.3 Data Definition Language (DDL) and Data Manipulation Language (DML)
Structured query language (SOL} 	 the standard query Language used with relational databases for data definition and data modification.	8.3 Data Definition Language (DDL) and Data Manipulation Language (DML)
Abstraction 	 the process of extracting information that is essential, while ignoring what is not relevant, for the provision of a solution.	9.1  Computational Thinking Skills
Decomposition 	 the process of breaking a complex problem into smaller parts.	9.1  Computational Thinking Skills
Float	A data type that is consisted of a decimal point number (Python)	9.1  Computational Thinking Skills
Flowchart 	 a diagrammatic representation of an algorithm.	9.1  Computational Thinking Skills
Pattern recognition 	the identification of parts of a problem that are similar and could use the same solution.	9.1  Computational Thinking Skills
Perfective maintenance 	 the process of making improvements to the performance of a program.	9.1  Computational Thinking Skills
Pointer 	Points to a location in the memory 	9.1  Computational Thinking Skills
Stepwise refinement 	 the practice of subdividing each part of a Larger problem into a series of smaller parts, and so on, as required.	9.1  Computational Thinking Skills
Algorithm 	 an ordered set of steps to be followed in the completion of a task.	9.2  Algorithms
Structured English 	 a method of showing the logical steps in an algorithm, using an agreed subset of straightforward English words for commands and mathematical operations.	9.2  Algorithms
